match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832634565,67,1,5,54,3ebril33e08ddzob4bhq8awsr,7b4jmfu1ejoeci2zmvwuejnys,P. Brittijn,15,92.9,62.0,0,0,0,1,0,0.13627992570400238,0.00036088054184801877,0.05809399485588074,0.36234569549560547,0.10436432808637619,0.26686158776283264,0.01708400622010231,0.5731008052825928,0.14295361936092377,0.13228896493674255
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832640473,136,1,14,26,3ebril33e08ddzob4bhq8awsr,44m4s9f1ckgdavmqjo0icx016,R. Fosso,13,79.1,53.6,0,0,0,0,0,0.05756358802318573,0.0,0.046983759850263596,0.2731277644634247,0.4615384638309479,0.3064170479774475,0.02784360945224762,0.6016402840614319,0.06409908831119537,0.16784271523356437
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832642311,152,1,16,59,3ebril33e08ddzob4bhq8awsr,dsh8ta4q6v5ews2e19p9xh6y2,J. Hubner,13,71.4,51.5,0,0,0,0,0,0.024022947996854782,0.0,0.042812079191207886,0.2731277644634247,0.29411765933036804,0.42281201481819153,0.010187455452978611,0.5498234033584595,0.017177123576402664,0.12681609019637108
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832644861,154,1,20,57,b79uipsy57y1jqpy07h4i5ovk,9d4lofwg9ooaoldw2vpt4h36y,E. Linthorst,15,91.8,37.8,0,0,1,0,0,0.024022947996854782,0.08799999952316284,0.02995169162750244,0.27339643239974976,0.051948051899671555,0.5572486519813538,0.010007256641983986,0.4114118814468384,0.021332236006855965,0.09346382468938827
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832648305,198,1,26,35,b79uipsy57y1jqpy07h4i5ovk,5shfqpd5fj05qrp1jlzd08ftg,C. Twigt,13,90.4,68.5,0,0,0,0,0,0.024022947996854782,0.0,0.034674063324928284,0.16802167892456055,0.5058823823928833,0.4133789539337158,0.020237110555171967,0.5145611763000488,0.051822736859321594,0.1465202145278454
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832649643,236,1,28,29,3ebril33e08ddzob4bhq8awsr,8przxwwothu3crflys7ahl4dm,S. Adewoye,16,4.9,47.0,1,0,1,0,0,1.0,1.0,0.04532967135310173,1.0,1.0,0.006430521607398987,0.0005477982340380549,0.003044910030439496,0.9899768233299255,0.8090659342706203
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832651363,252,1,30,27,3ebril33e08ddzob4bhq8awsr,3jkzywsfc2vjq3h1kqdhhl2hh,P. Gladon,13,92.3,54.2,0,0,0,0,0,0.21265378594398499,0.0,0.04772234335541725,0.4680337905883789,0.8265895843505859,0.5208556652069092,0.0241192989051342,0.2572818100452423,0.19774320721626282,0.3109999008476734
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832653341,251,1,32,47,b79uipsy57y1jqpy07h4i5ovk,1mroid71v9bwpx0iaospei9gq,R. Margaret,13,96.2,40.3,0,0,0,0,0,0.13627992570400238,0.00036088054184801877,0.34585291147232056,0.36234569549560547,0.8265895843505859,0.3069383502006531,0.024833913892507553,0.5138336420059204,0.15439413487911224,0.33428579951287246
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832654421,271,1,34,7,3ebril33e08ddzob4bhq8awsr,60jptu288hf6gcljkbzcdie39,K. Peterson,15,89.8,67.2,0,0,0,1,0,0.03333333507180214,0.00036088054184801877,0.03171641752123833,0.27726954221725464,0.0,0.48097550868988037,0.01171437930315733,0.47090333700180054,0.036406759172677994,0.06853603507042863
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832655905,279,1,35,45,3ebril33e08ddzob4bhq8awsr,60jptu288hf6gcljkbzcdie39,K. Peterson,13,80.1,73.5,0,0,0,0,0,0.024022947996854782,0.0,0.042812079191207886,0.27726954221725464,0.3692307770252228,0.43944481015205383,0.006789186038076878,0.5250736474990845,0.02869236283004284,0.142667069286108
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832657015,290,1,37,4,3ebril33e08ddzob4bhq8awsr,60jptu288hf6gcljkbzcdie39,K. Peterson,15,88.9,62.7,0,0,1,0,0,0.11990950256586075,0.4728682041168213,0.042812079191207886,0.36234569549560547,0.5542168617248535,0.20171001553535461,0.01475764811038971,0.6949435472488403,0.08858877420425415,0.3104304686188698
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832659151,311,1,40,1,3ebril33e08ddzob4bhq8awsr,60jptu288hf6gcljkbzcdie39,K. Peterson,15,84.7,57.3,0,0,0,1,0,0.10483871400356293,0.0014577260008081794,0.04532967135310173,0.31630972027778625,0.10436432808637619,0.22081558406352997,0.013715085573494434,0.664042592048645,0.10142672806978226,0.11446003194432705
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832659217,312,1,40,4,3ebril33e08ddzob4bhq8awsr,44m4s9f1ckgdavmqjo0icx016,R. Fosso,15,77.4,48.3,0,0,0,1,0,0.04280821979045868,0.00036088054184801877,0.04532967135310173,0.2731277644634247,0.033707864582538605,0.37781473994255066,0.013547037728130817,0.5801299810409546,0.02850821055471897,0.07906688014627435
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832662829,363,1,44,16,3ebril33e08ddzob4bhq8awsr,2ifp36vdm0d6rb3xc7muuvv11,D. Limnios,15,77.7,37.6,0,0,1,0,0,0.03790983557701111,0.14536741375923157,0.042812079191207886,0.27339643239974976,0.10436432808637619,0.34368395805358887,0.012939587235450745,0.6090055704116821,0.03437089920043945,0.1207700178027153
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832663291,367,1,44,49,3ebril33e08ddzob4bhq8awsr,dsh8ta4q6v5ews2e19p9xh6y2,J. Hubner,15,91.7,53.0,0,0,0,1,0,0.19158878922462463,0.0038314175326377153,0.034674063324928284,0.31630972027778625,0.302325576543808,0.24597884714603424,0.03641239553689957,0.5724793076515198,0.14512942731380463,0.16974591338075698
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832663693,371,1,45,15,3ebril33e08ddzob4bhq8awsr,44m4s9f1ckgdavmqjo0icx016,R. Fosso,15,85.5,55.0,0,0,0,1,0,0.07782100886106491,0.00036088054184801877,0.046983759850263596,0.20000000298023224,0.10436432808637619,0.23365849256515503,0.014484976418316364,0.67790287733078,0.07395365089178085,0.08590599606395699
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832663871,375,1,45,26,3ebril33e08ddzob4bhq8awsr,dsh8ta4q6v5ews2e19p9xh6y2,J. Hubner,15,95.8,37.7,0,0,0,1,0,0.024022947996854782,0.0014577260008081794,0.05809399485588074,0.20000000298023224,0.0782608687877655,0.42033252120018005,0.04487421363592148,0.5083267092704773,0.02646651491522789,0.07236710812430829
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832663909,377,1,45,27,3ebril33e08ddzob4bhq8awsr,3jkzywsfc2vjq3h1kqdhhl2hh,P. Gladon,15,92.9,55.4,0,0,0,1,0,0.10483871400356293,0.0014577260008081794,0.05809399485588074,0.2731277644634247,0.10436432808637619,0.4478495419025421,0.014187618158757687,0.4484829604625702,0.08947989344596863,0.10837650548201054
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832663919,378,1,45,29,3ebril33e08ddzob4bhq8awsr,7b4jmfu1ejoeci2zmvwuejnys,P. Brittijn,16,95.0,48.4,1,0,1,0,0,0.3711583912372589,0.7763158082962036,0.33023256063461304,0.5,0.8265895843505859,0.14183801412582397,0.018864376470446587,0.4776057004928589,0.3616919219493866,0.5608592689037323
2025-08-08_Fortuna Sittard - Go Ahead Eagles.json,2832674699,396,2,46,6,3ebril33e08ddzob4bhq8awsr,2ifp36vdm0d6rb3xc7muuvv11,D. Limnios,15,88.5,38.9,0,0,1,0,0,0.11990950256586075,0.10101009905338287,0.04532967135310173,0.31630972027778625,0.10436432808637619,0.22748473286628723,0.014407924376428127,0.6381447315216064,0.11996260285377502,0.13738466426730156
